YYWW,DOGA,MAX(PAY),MIN(PAY),A1,A2,B1,B2,C1,C2,D1,D2,TEMP1,TEMP2,TEMP3,TEMP4,TEMP5,TEMP6
201701,4319.3,4445,4200,-422940,-432780,-1284475,-1290595,-38869,-91665,-1223840,-1239200,64.2,3.9,3.9,-2.3,11.4,13.7
201702,4311.3,4357,4236,-340186,-352570,-1335015,-1338735,-51894,-106550,-1247253,-1257885,46.9,-2.1,-2.3,-10.5,10.9,21.4
201703,4327.2,4406,4265,-440313,-452385,-1398550,-1408870,-60173,-117055,-1221689,-1245185,54.9,-3.4,-3.4,-11.5,4.7,16.2
201704,4067,4525,3732,-384482,-397250,-1297930,-1301770,-55003,-111970,-1131188,-1145300,50.5,-5,-5,-12.6,4.3,16.9
201705,4094.8,4187,3948,-333769,-345265,-1184830,-1189150,-31552,-74750,-1429796,-1447220,58.2,-1.9,-2,-9.9,6.7,16.6
201706,4336.4,4489,4180,-474255,-484455,-1274930,-1277810,-64291,-126460,-1462329,-1478145,51.4,-3,-3.1,-9.3,3,12.3
201707,4249.4,4332,4126,-361426,-375010,-956210,-958130,-42156,-96910,-1342758,-1354230,54,0.6,0.5,-7.4,10.3,17.7
201708,4279.4,4352,4181,-388815,-399975,-1101222,-1111590,-44421,-98880,-1314605,-1332245,57.5,0.2,0.3,-7.6,8.4,16
201709,4458.5,4509,4433,-435639,-449535,-872420,-873620,-61489,-128545,-1261309,-1281205,53.3,4.1,4.1,-3.1,12.7,15.8
201710,4414,4462,4278,-410440,-420760,-793278,-799710,-33043,-86070,-1351338,-1361130,46.7,2.6,2.7,-5.3,16.7,22
201711,4431.4,4474,4398,-403446,-415830,-780235,-785635,-49230,-108925,-1256741,-1274045,42.9,7.2,7.2,0.4,16.1,15.7
201712,4414.4,4438,4382,-507556,-517300,-750200,-752360,-65281,-118480,-1468935,-1490415,39.5,8.9,8.9,1.9,18.9,17
201713,4476,4509,4439,-423843,-437115,-679052,-681260,-42180,-102065,-1324050,-1335810,59.6,8.1,8.2,2.5,17.1,14.6
201714,4648,4708,4554,-439869,-453285,-752152,-757960,-36703,-99590,-1443009,-1455225,61.8,12,12.1,3.1,23.5,20.4
201715,4711.6,4747,4680,-494085,-507405,-760780,-763180,-44638,-105405,-1293231,-1311015,45.4,14.3,14.4,6.3,24.3,18
201716,4902.8,5013,4759,-489996,-500220,-702743,-705695,-66441,-129650,-1386539,-1396355,56.2,14.1,14.1,7,24.4,17.4
201717,5405.8,5528,5254,-465900,-480060,-863985,-867705,-46143,-101010,-1354766,-1371470,45,15.1,15.2,7.9,23.7,15.8
201718,5283.4,5792,4844,-398256,-409920,-554470,-554470,-56359,-111375,-1281752,-1289240,44.9,19.8,19.8,10,30.2,20.2
201719,4886,4940,4834,-476003,-489275,-829405,-837205,-45380,-105570,-1457714,-1475330,61.9,17.5,17.5,10.9,24.8,13.9
201720,4964.8,5001,4905,-477602,-491330,-693878,-696950,-50231,-117900,-1381718,-1395110,51.6,18.5,18.5,11,27.9,16.9
201721,5129.2,5224,5023,-493427,-505355,-792218,-801530,-63044,-117745,-1512743,-1531775,51.9,20.2,20.2,12.4,28,15.6
201722,5185.2,5298,5091,-455495,-471695,-782352,-787440,-50373,-114020,-1338472,-1349080,48.1,22.1,22.2,14.4,30.3,15.9
201723,5410,5467,5314,-473712,-485040,-740267,-743795,-49003,-104850,-1427213,-1439525,58,20.8,20.8,14.5,30.3,15.8
201724,5498.8,5576,5419,-489458,-502610,-729970,-735970,-67004,-123755,-1345148,-1357820,53.4,23,23,14.8,32.7,17.9
201725,5427.2,5522,5187,-442670,-457070,-696743,-703055,-32862,-89470,-1306111,-1318135,52.6,25.4,25.3,18.6,34.1,15.5
201726,5366.4,5473,5231,-400093,-413845,-680830,-682750,-63519,-128275,-1257605,-1271165,69.8,25,25.1,20.1,31.5,11.4
201727,5368.4,5473,5182,-460437,-472605,-709513,-717025,-38312,-96390,-1272422,-1285910,79.2,27.1,26.2,21.9,34.6,12.7
201728,5327,5376,5193,-456943,-469735,-566725,-574525,-64665,-130195,-1186024,-1201000,80.9,27.5,26.4,22.2,33,10.8
201729,5119.4,5289,4871,-458566,-472150,-614140,-621820,-69063,-136875,-1322258,-1340930,75.7,31,28.1,23.4,34.9,11.5
201730,4976.6,5144,4832,-397768,-407320,-590830,-596830,-58438,-119695,-1222110,-1239150,74,29,27.3,24.2,35.4,11.2
201731,5129.4,5261,4938,-488369,-496985,-615090,-620850,-56374,-118390,-1303485,-1312245,68.2,32.3,29.2,24.1,35.3,11.2
