YYWW,DOGA,MAX(PAY),MIN(PAY),YYYY,A1,A2,B1,B2,C1,C2,D1,D2,YYWW_1,TEMP1,TEMP2,TEMP3,TEMP4,TEMP5,TEMP6
2018-36,5097.2,5256,4955,2018-36,-448691,-455435,-833482,-835450,-42751,-108525,-1258940,-1268300,2018-36,63.1,23,22.9,15.6,28.9,13.3
2018-41,3931,4209,3635,2018-41,-425914,-431290,-968272,-968560,-63219,-117510,-1464268,-1473340,2018-41,54,12.6,12.6,5.2,20.9,15.7
2018-46,3634.8,3663,3603,2018-46,-444282,-454170,-1206355,-1207435,-64036,-119295,-1363675,-1373395,2018-46,54.5,8,8,0.6,16.6,16
2018-50,3877.8,3968,3726,2018-50,-448747,-459475,-1021602,-1025250,-40638,-91120,-1240693,-1250605,2018-50,46.5,-2,-1.9,-8.1,4.6,12.7
Feb-19,3219.8,3265,3198,Feb-19,-405690,-413850,-822590,-826190,-44186,-81910,-1037919,-1045335,Feb-19,48.1,-0.2,-0.1,-9.4,8,17.4
Mar-19,3276.3,3384,3043,Mar-19,-392717,-400325,-877350,-878070,-38621,-81590,-1052477,-1059125,Mar-19,50.3,-0.8,-0.8,-10.1,8.5,18.6
May-19,3353.7,3672,3018,May-19,-601331,-612155,-1184980,-1187860,-75688,-144490,-1424491,-1437475,May-19,51,0.3,0.2,-7.4,7,14.4
Jul-19,3027.4,3115,2938,Jul-19,-409988,-416900,-828030,-829230,-54457,-94275,-1145838,-1152990,Jul-19,43.9,-1.1,-1.1,-6.8,6.3,13.1
2019-17,4114.8,4316,3870,2019-17,-395594,-401930,-663220,-663220,-86733,-124695,-904372,-908020,2019-17,62.1,14.2,14.1,4.1,25.9,21.8
2019-20,4147.4,4237,4102,2019-20,-325317,-336285,-556900,-557620,-55779,-96095,-925045,-928045,2019-20,54.6,20.9,20.9,12.9,30,17.1
2019-21,4178.8,4244,4135,2019-21,-381854,-391310,-605080,-606280,-50816,-94895,-946900,-949300,2019-21,50.5,21.3,21.2,11.7,33.4,21.7
2019-28,4153,4238,4045,2019-28,-318749,-323285,-664100,-664100,-42171,-91705,-1073422,-1078270,2019-28,66.2,24,24,19.3,31.6,12.3
2019-33,4098.6,4342,3805,2019-33,-366225,-371865,-634280,-634280,-51261,-98695,-1019323,-1028035,2019-33,70.8,28.4,27,21.2,35.7,14.5
2019-48,3882,3979,3808,2019-48,-417520,-420400,-904490,-909290,-94942,-139800,-1105288,-1111480,2019-48,54.6,3.4,3.3,-3.4,13.7,17.1
Jan-20,2964.4,3077,2898,Jan-20,-192110,-193550,-487360,-487360,-43681,-69950,-730940,-733100,Jan-20,62.5,1.3,1.5,-6.5,7.7,14.2
Jul-20,3107.8,3167,3016,Jul-20,-377719,-381535,-1005630,-1005630,-87026,-140785,-1151223,-1156335,Jul-20,68.6,3.1,2.9,-8.3,15.6,23.9
Aug-20,3433.8,3631,3275,Aug-20,-404018,-409490,-984900,-984900,-96592,-141755,-1291898,-1297370,Aug-20,60.3,4.5,4.6,-4.4,12.2,16.6
